,name,document_frequency
0,sub,1332
1,push,1396
2,mov,1362
3,or,1277
4,xor,1344
5,repne,628
6,not,892
7,lea,1264
8,shr,1072
9,rep,888
10,and,1293
11,dec,1312
12,call,1387
13,cmp,1351
14,je,1347
15,add,1415
16,test,1240
17,jmp,1377
18,jne,1338
19,pop,1347
20,ret,1330
21,nop,1120
22,movsb,891
23,cdq,994
24,idiv,810
25,inc,1349
26,jl,1083
27,seta,158
28,jle,1069
29,js,1129
30,leave,1043
31,jge,1065
32,imul,1205
33,sar,951
34,movsd,901
35,movzx,771
36,int3,1018
37,neg,974
38,std,913
39,cld,1073
40,jae,1251
41,sbb,1128
42,shl,1085
43,jg,1063
44,movsx,705
45,ja,1157
46,adc,1075
47,in,1065
48,jb,1270
49,jbe,1188
50,sete,560
51,div,882
52,rcr,814
53,mul,775
54,xchg,1158
55,setge,323
56,setl,308
57,jns,1053
58,loopne,824
59,ror,858
60,scasd,709
61,enter,839
62,pushal,987
63,stosb,980
64,stosd,926
65,jecxz,820
66,repe,488
67,insb,1025
68,insd,962
69,cwde,810
70,aam,789
71,outsb,1011
72,outsd,1010
73,rol,890
74,loop,850
75,fld,725
76,lodsd,812
77,popal,1079
78,lodsb,899
79,movsw,225
80,jo,1020
81,bswap,307
82,stosw,411
83,bound,924
84,aas,810
85,arpl,972
86,outsw,362
87,popaw,273
88,jno,751
89,das,852
90,jp,813
91,aaa,822
92,scasw,72
93,loope,719
94,lodsw,125
95,stc,798
96,daa,802
97,fiadd,563
98,out,878
99,sal,720
100,retf,785
101,lds,653
102,lcall,763
103,fidivr,327
104,cmpsb,749
105,sti,745
106,ljmp,770
107,clc,867
108,popfd,762
109,int1,682
110,movd,105
111,fist,385
112,sahf,808
113,iretd,766
114,rcl,758
115,scasb,743
116,hlt,808
117,xlatb,736
118,into,728
119,fcomp,685
120,lahf,736
121,jnp,748
122,les,752
123,fsubr,626
124,fdivp,375
125,wait,846
126,xrelease,83
127,fild,719
128,pushfd,824
129,salc,697
130,fcom,600
131,ficomp,357
132,fstp,742
133,fisttp,456
134,fcmovnu,236
135,frstor,262
136,fmul,684
137,cli,740
138,movaps,129
139,cmpsd,664
140,cmc,681
141,psllq,73
142,fisub,324
143,fidiv,505
144,psubd,66
145,cmovnp,89
146,cmove,142
147,rcpps,92
148,int,723
149,fst,419
150,aad,697
151,fnstenv,283
152,fdiv,639
153,fldenv,266
154,fsub,617
155,fstpnce,293
156,fnstsw,552
157,fninit,319
158,fldcw,565
159,fmulp,350
160,fldz,256
161,cmovo,257
162,fadd,711
163,bt,302
164,setne,474
165,bts,276
166,fabs,226
167,frndint,234
168,fbstp,423
169,fnstcw,493
170,fnclex,386
171,fchs,247
172,fistp,614
173,fimul,502
174,cmovns,215
175,setg,320
176,lock,672
177,fld1,118
178,faddp,298
179,fprem,105
180,ffree,203
181,rdtsc,110
182,fcomip,183
183,pavgb,89
184,fdivr,569
185,divps,67
186,punpcklbw,78
187,mulps,74
188,fcmovu,191
189,cmovp,77
190,fucomp,180
191,pand,58
192,cmovno,199
193,orps,84
194,bnd,273
195,setbe,70
196,psubq,77
197,paddsw,62
198,vmread,94
199,xadd,119
200,maxps,81
201,pfsub,2
202,sets,72
203,seto,138
204,setp,69
205,setns,67
206,pswapd,2
207,pshufw,83
208,movups,185
209,fcmovbe,177
210,rsqrtps,85
211,invd,168
212,f2xm1,81
213,setnp,57
214,psraw,72
215,rdrand,2
216,btc,86
217,movmskps,21
218,setb,251
219,pcmpeqw,88
220,pfpnacc,1
221,maskmovq,24
222,xorps,78
223,wrmsr,89
224,fisubr,326
225,addps,79
226,fbld,268
227,pcmpeqd,75
228,insw,115
229,sldt,305
