,name,document_frequency
0,sub,13542
1,push,13670
2,mov,13631
3,or,13047
4,xor,13571
5,repne,5707
6,not,10151
7,lea,13139
8,shr,11952
9,rep,7834
10,and,13449
11,dec,12878
12,call,13430
13,cmp,13528
14,je,13320
15,add,14134
16,test,13124
17,jmp,13481
18,jne,13403
19,pop,13576
20,ret,13385
21,nop,11555
22,movsb,9689
23,cdq,10734
24,idiv,8719
25,inc,13069
26,jl,11701
27,seta,2310
28,jle,11853
29,js,11674
30,leave,11300
31,jge,11745
32,imul,12150
33,sar,11248
34,movsd,9798
35,movzx,8317
36,int3,11847
37,neg,10737
38,std,9639
39,cld,10573
40,jae,12523
41,sbb,12341
42,shl,11606
43,jg,11420
44,movsx,6048
45,ja,12157
46,adc,11536
47,in,11115
48,jb,12494
49,jbe,12256
50,sete,5699
51,div,9093
52,rcr,9091
53,mul,8476
54,xchg,11602
55,setge,2990
56,setl,3052
57,jns,11395
58,loopne,9141
59,ror,9864
60,scasd,8310
61,enter,9058
62,pushal,9934
63,stosb,9812
64,stosd,10051
65,jecxz,8958
66,repe,4265
67,insb,10052
68,insd,9573
69,cwde,9330
70,aam,8896
71,outsb,9758
72,outsd,9729
73,rol,9970
74,loop,8631
75,fld,8459
76,lodsd,8614
77,popal,9967
78,lodsb,9242
79,movsw,2648
80,jo,10138
81,bswap,3863
82,stosw,3072
83,bound,9476
84,aas,8990
85,arpl,9695
86,outsw,3274
87,popaw,2928
88,jno,8843
89,das,9138
90,jp,9527
91,aaa,9057
92,scasw,1076
93,loope,8343
94,lodsw,1464
95,stc,8554
96,daa,9040
97,fiadd,6767
98,out,9580
99,sal,8243
100,retf,8913
101,lds,7863
102,lcall,8597
103,fidivr,5126
104,cmpsb,8361
105,sti,8445
106,ljmp,8465
107,clc,9396
108,popfd,8739
109,int1,8267
110,movd,2106
111,fist,5496
112,sahf,8892
113,iretd,8534
114,rcl,8639
115,scasb,8455
116,hlt,9044
117,xlatb,8525
118,into,8324
119,fcomp,7815
120,lahf,8417
121,jnp,8959
122,les,8659
123,fsubr,7472
124,fdivp,4507
125,wait,9228
126,xrelease,1666
127,fild,8270
128,pushfd,9594
129,salc,8200
130,fcom,7039
131,ficomp,5190
132,fstp,8374
133,fisttp,6423
134,fcmovnu,3286
135,frstor,4237
136,fmul,7953
137,cli,8522
138,movaps,2233
139,cmpsd,8104
140,cmc,8196
141,psllq,1362
142,fisub,5240
143,fidiv,5993
144,psubd,1463
145,cmovnp,1429
146,cmove,1981
147,rcpps,1284
148,int,8434
149,fst,6224
150,aad,8196
151,fnstenv,4083
152,fdiv,7619
153,fldenv,4212
154,fsub,7387
155,fstpnce,3334
156,fnstsw,6256
157,fninit,2226
158,fldcw,5849
159,fmulp,4230
160,fldz,2846
161,cmovo,2152
162,fadd,8341
163,bt,2951
164,setne,5491
165,bts,2937
166,fabs,2209
167,frndint,2090
168,fbstp,4921
169,fnstcw,5734
170,fnclex,3000
171,fchs,2518
172,fistp,7327
173,fimul,6323
174,cmovns,1930
175,setg,3420
176,lock,7431
177,fld1,2291
178,faddp,4164
179,fprem,1559
180,ffree,3185
181,rdtsc,1715
182,fcomip,3191
183,pavgb,1435
184,fdivr,7035
185,divps,1116
186,punpcklbw,1361
187,mulps,1272
188,fcmovu,3209
189,cmovp,1235
190,fucomp,3217
191,pand,1381
192,cmovno,1849
193,orps,1348
194,bnd,4255
195,setbe,1477
196,psubq,1257
197,paddsw,1149
198,vmread,1332
199,xadd,2030
200,maxps,1234
201,pfsub,32
202,sets,1521
203,seto,2119
204,setp,1298
205,setns,1454
206,pswapd,30
207,pshufw,1285
208,movups,2963
209,fcmovbe,2888
210,rsqrtps,1420
211,invd,1905
212,f2xm1,1535
213,setnp,1161
214,psraw,1223
215,rdrand,43
216,btc,1305
217,movmskps,563
218,setb,2636
219,pcmpeqw,1391
220,pfpnacc,22
221,maskmovq,449
222,xorps,1359
223,wrmsr,1478
224,fisubr,5204
225,addps,1345
226,fbld,4174
227,pcmpeqd,1245
228,insw,1455
229,sldt,3343
230,psrld,1192
231,pminub,1134
232,pfrsqrt,19
233,bsr,1552
234,pfadd,28
235,pslld,1310
236,cvtps2pd,1177
237,pfmin,18
238,setno,1207
239,ucomiss,1471
240,movntq,982
241,sysexit,1346
242,pmaxsw,1251
243,pfcmpgt,27
244,fdivrp,3804
245,pfcmpge,36
246,pinsrw,1517
247,iret,1249
248,wbinvd,1589
249,shld,3102
250,shrd,3105
251,andps,1720
252,cmovne,1983
253,cvttps2pi,1410
254,fucomi,3308
255,fsubrp,3654
256,fcompp,1915
257,femms,1676
258,btr,1895
259,prefetcht0,247
260,fnsave,4388
261,cmovae,1836
262,str,2195
263,fcos,1958
264,verw,1602
265,setle,2244
266,setae,1901
267,ud2,1656
268,punpckhbw,1484
269,cmovle,1448
270,paddsb,1242
271,fxch,4949
272,fyl2x,1345
273,pcmpgtb,1373
274,pcmpeqb,1490
275,clts,1822
276,psubw,1248
277,pcmpgtd,1543
278,cmpsw,1157
279,ffreep,3014
280,fcmovb,2947
281,fsubp,3871
282,fdecstp,1084
283,getsec,1337
284,ficom,5253
285,cmovb,2106
286,fcomi,3049
287,por,1452
288,cmovg,1580
289,sysret,1586
290,fprem1,1237
291,cvtdq2ps,1255
292,cmovge,1408
293,rsm,1135
294,psllw,1348
295,fcmovnb,3043
296,cwd,1265
297,fucomip,3266
298,fcmovne,2943
299,psubusb,1168
300,xrstor,210
301,fcmove,2983
302,paddq,1144
303,paddusw,1064
304,ftst,1370
305,fincstp,1167
306,cbw,1335
307,popf,1197
308,fldpi,1420
309,lsl,1847
310,movapd,436
311,paddw,1170
312,psubb,1545
