,name,document_frequency
0,sub,5927
1,push,6028
2,mov,5985
3,or,5850
4,xor,5958
5,repne,2627
6,not,4402
7,lea,5726
8,shr,5100
9,rep,4231
10,and,5875
11,dec,5818
12,call,5908
13,cmp,5961
14,je,5947
15,add,6059
16,test,5769
17,jmp,5927
18,jne,5931
19,pop,5955
20,ret,5834
21,nop,5232
22,movsb,3901
23,cdq,4674
24,idiv,3830
25,inc,5904
26,jl,5222
27,seta,1254
28,jle,5323
29,js,5405
30,leave,4778
31,jge,5177
32,imul,5550
33,sar,4839
34,movsd,4084
35,movzx,4278
36,int3,4926
37,neg,4798
38,std,3882
39,cld,4447
40,jae,5692
41,sbb,5517
42,shl,5024
43,jg,5077
44,movsx,3630
45,ja,5536
46,adc,5198
47,in,4737
48,jb,5746
49,jbe,5652
50,sete,3675
51,div,4074
52,rcr,3671
53,mul,3709
54,xchg,5159
55,setge,1798
56,setl,1891
57,jns,5048
58,loopne,3637
59,ror,3863
60,scasd,2974
61,enter,3521
62,pushal,3990
63,stosb,3942
64,stosd,4194
65,jecxz,3431
66,repe,2210
67,insb,4274
68,insd,3993
69,cwde,3716
70,aam,3416
71,outsb,4172
72,outsd,4141
73,rol,3986
74,loop,3199
75,fld,3659
76,lodsd,3048
77,popal,4281
78,lodsb,3525
79,movsw,1447
80,jo,4323
81,bswap,1201
82,stosw,1842
83,bound,4005
84,aas,3469
85,arpl,4126
86,outsw,1930
87,popaw,1567
88,jno,3381
89,das,3672
90,jp,4007
91,aaa,3492
92,scasw,248
93,loope,3038
94,lodsw,372
95,stc,3145
96,daa,3575
97,fiadd,2589
98,out,3862
99,sal,2902
100,retf,3352
101,lds,2797
102,lcall,3182
103,fidivr,1332
104,cmpsb,3008
105,sti,3051
106,ljmp,3003
107,clc,3546
108,popfd,3365
109,int1,2880
110,movd,634
111,fist,1471
112,sahf,3483
113,iretd,3190
114,rcl,3246
115,scasb,3025
116,hlt,3377
117,xlatb,3121
118,into,3027
119,fcomp,3122
120,lahf,3091
121,jnp,3389
122,les,3255
123,fsubr,2851
124,fdivp,1892
125,wait,3678
126,xrelease,261
127,fild,3490
128,pushfd,3872
129,salc,2883
130,fcom,2586
131,ficomp,1385
132,fstp,3511
133,fisttp,1893
134,fcmovnu,790
135,frstor,1087
136,fmul,3275
137,cli,3084
138,movaps,583
139,cmpsd,2776
140,cmc,2834
141,psllq,445
142,fisub,1373
143,fidiv,2100
144,psubd,392
145,cmovnp,312
146,cmove,792
147,rcpps,349
148,int,3112
149,fst,2240
150,aad,2965
151,fnstenv,1098
152,fdiv,2969
153,fldenv,1057
154,fsub,2823
155,fstpnce,1058
156,fnstsw,2852
157,fninit,1345
158,fldcw,2564
159,fmulp,1842
160,fldz,1808
161,cmovo,962
162,fadd,3442
163,bt,1589
164,setne,3466
165,bts,1600
166,fabs,1292
167,frndint,1185
168,fbstp,1562
169,fnstcw,2459
170,fnclex,1810
171,fchs,1568
172,fistp,2839
173,fimul,2209
174,cmovns,847
175,setg,2150
176,lock,3354
177,fld1,1183
178,faddp,1691
179,fprem,551
180,ffree,817
181,rdtsc,430
182,fcomip,646
183,pavgb,364
184,fdivr,2504
185,divps,241
186,punpcklbw,425
187,mulps,267
188,fcmovu,778
189,cmovp,290
190,fucomp,913
191,pand,351
192,cmovno,784
193,orps,329
194,bnd,1041
195,setbe,525
196,psubq,333
197,paddsw,262
198,vmread,270
199,xadd,425
200,maxps,273
201,pfsub,22
202,sets,545
203,seto,959
204,setp,298
205,setns,569
206,pswapd,17
207,pshufw,333
208,movups,1109
209,fcmovbe,669
210,rsqrtps,333
211,invd,600
212,f2xm1,533
213,setnp,256
214,psraw,287
215,rdrand,22
216,btc,248
217,movmskps,95
218,setb,1469
219,pcmpeqw,363
220,pfpnacc,13
221,maskmovq,83
222,xorps,433
223,wrmsr,319
224,fisubr,1364
225,addps,328
226,fbld,973
227,pcmpeqd,330
228,insw,463
229,sldt,1514
230,psrld,276
231,pminub,223
232,pfrsqrt,14
233,bsr,576
234,pfadd,21
235,pslld,306
236,cvtps2pd,279
237,pfmin,9
238,setno,213
239,ucomiss,307
240,movntq,209
241,sysexit,255
242,pmaxsw,293
243,pfcmpgt,10
244,fdivrp,1373
245,pfcmpge,16
246,pinsrw,432
247,iret,400
248,wbinvd,376
249,shld,1444
250,shrd,1497
251,andps,769
252,cmovne,816
253,cvttps2pi,275
254,fucomi,829
255,fsubrp,1368
256,fcompp,951
257,femms,546
258,btr,883
259,prefetcht0,67
260,fnsave,1108
261,cmovae,712
262,str,816
263,fcos,917
264,verw,336
265,setle,1294
266,setae,933
267,ud2,421
268,punpckhbw,419
269,cmovle,394
270,paddsb,266
271,fxch,1685
272,fyl2x,473
273,pcmpgtb,325
274,pcmpeqb,392
275,clts,479
276,psubw,293
277,pcmpgtd,518
278,cmpsw,240
279,ffreep,656
280,fcmovb,616
281,fsubp,1418
282,fdecstp,254
